"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"SibA",-0.466917119517389,10.3662368069103,2.03307135669336,0.16768903202629,0.992378856146764,0.992378856146764
"SraC",0.319466301689288,6.36428841336841,2.17030472002228,0.149964994080387,0.992378856146764,0.992378856146764
"SraG",-0.18910977396185,8.65859920076155,2.1043875006085,0.156109063047488,0.992378856146764,0.992378856146764
"STnc1110",-0.247326452381494,6.96493461154829,2.21185377735134,0.14623844971001,0.992378856146764,0.992378856146764
"STnc290",-0.441948671989932,5.35162765595281,2.39889348932918,0.130748965280301,0.992378856146764,0.992378856146764
"StyR-44b",-0.188082835776797,11.9183583743727,1.87873639364016,0.17952602130072,0.992378856146764,0.992378856146764
"yaaA",0.187940823601725,6.56695701063453,1.65327511759293,0.207266655511098,0.993559778327269,0.993559778327269
"rihC",-0.20014456137177,6.31259446615358,2.02705935062153,0.204562490992071,0.993559778327269,0.993559778327269
"prpR",0.646982779119344,4.73758501062987,1.65248809131881,0.207580616743643,0.993559778327269,0.993559778327269
"SL1344_0969",0.441432760322852,4.72318753742746,1.6668276462044,0.20545807237828,0.993559778327269,0.993559778327269
"SL1344_0985",0.758414897281357,3.25647184069541,1.64855684248099,0.207900881862031,0.993559778327269,0.993559778327269
"SL1344_1222",0.465565920147853,4.28281555116185,1.66118165747205,0.206209171052699,0.993559778327269,0.993559778327269
"SL1344_1259",-0.308332029760356,4.92912295038431,1.64945318481078,0.207780213491885,0.993559778327269,0.993559778327269
"dcm",0.28073635106956,6.66168914249211,1.67847201669533,0.203919537192616,0.993559778327269,0.993559778327269
"yehZ",0.659480552054524,5.95156766267133,1.6749124537999,0.20635328143104,0.993559778327269,0.993559778327269
"dld",-0.268724659988682,6.18973667427083,1.65582036932711,0.206925509517604,0.993559778327269,0.993559778327269
"SL1344_2633",0.222877105412087,6.9339364698893,1.65113352648855,0.207554231955507,0.993559778327269,0.993559778327269
"SL1344_2641",0.278022942402265,6.6632454555693,1.65093588196268,0.207580796633619,0.993559778327269,0.993559778327269
